damage,xcentroid,ycentroid
1,-95.140755,29.644682
2.3568282,-95.140923,29.94272
1.1007326,-95.163712,29.971218
1,-95.164375,29.99494
1,-95.141319,29.800467
.99925709,-95.142029,29.659618
1,-95.142029,29.775354
1,-95.142487,29.568207
1,-95.16494,29.703663
1,-95.165657,29.793581
1,-95.165726,29.481815
.99601597,-95.14257,29.786371
.99947959,-95.143845,29.643888
1,-95.166306,30.007048
.99925017,-95.166214,29.986706
1,-95.166252,29.669384
1.0029358,-95.16713,30.020218
1,-95.144379,29.658392
1.6446316,-95.144699,29.598164
.99438375,-95.145378,29.579849
1,-95.167786,29.662001
.99562949,-95.167976,29.924824
.99947941,-95.167976,30.004065
1.9502286,-95.167793,30.081562
.99562949,-95.168144,29.924696
1,-95.145752,29.659164
1.2803509,-95.145882,29.586224
.99509001,-95.146439,29.795345
1.0409356,-95.146225,30.053461
1,-95.146362,29.66984
.99952382,-95.14666,29.478098
.99014992,-95.146957,29.642448
1.0077465,-95.168518,29.983145
1,-95.16922,29.6474
1,-95.169235,29.642286
1.0657673,-95.169617,30.05558
1,-95.16954,30.058781
1,-95.147018,29.803387
1,-95.147034,29.486656
1,-95.147148,29.482725
.99901164,-95.147614,29.812227
1.546875,-95.147675,30.041576
1,-95.169685,29.930323
.99769938,-95.169952,29.702221
1.9935347,-95.169975,30.081573
.96834534,-95.169968,29.781269
.99742931,-95.170273,29.741642
.99665552,-95.170601,29.993357
1,-95.170631,29.639732
1,-95.171135,29.653214
.98888886,-95.148361,29.481693
.99664432,-95.148537,29.798904
1,-95.148979,29.6415
1,-95.149254,29.376776
1,-95.149521,29.653112
1,-95.149673,29.78833
1,-95.171371,30.002354
1,-95.171394,29.690067
1,-95.172203,29.801088
2.4375,-95.150017,30.016953
.99543858,-95.150238,29.812336
1,-95.150665,29.638088
1.3307889,-95.172821,29.925959
1.9237417,-95.17292,29.50425
1,-95.17347,29.790028
1,-95.173637,29.789377
1.0065217,-95.151482,29.85284
1.7028972,-95.15155,29.988899
1,-95.151833,29.674669
.99432749,-95.151703,29.807642
.99744964,-95.151749,29.796093
.99960029,-95.173866,29.540377
1.2764744,-95.173866,29.525621
1,-95.174179,29.692879
.99646395,-95.174286,29.954823
1,-95.174515,29.922884
1,-95.153084,29.805166
1,-95.153381,29.97942
.99172187,-95.153496,29.981094
1,-95.153946,29.795214
1,-95.153824,29.980062
1,-95.175133,29.769449
1,-95.175774,29.997877
1,-95.155891,29.990036
1.0552373,-95.15609,29.986977
1.5057209,-95.17672,29.545586
1.5060847,-95.17691,29.52429
1,-95.176811,29.683832
.99976671,-95.17704,29.801338
1.9830642,-95.177101,30.057064
1.8180792,-95.156837,29.505465
1.0140845,-95.156921,30.0131
.99936062,-95.156799,29.486313
.9985975,-95.157158,29.69072
1,-95.157639,29.531569
1,-95.157898,29.533546
1.9601434,-95.17865,29.504925
2.2465117,-95.178688,29.97599
1.927544,-95.178711,30.018373
1,-95.178978,29.855862
2.2506757,-95.179329,29.548376
1,-95.17926,29.537418
1,-95.159378,29.511442
1,-95.159492,29.803726
1,-95.159737,29.506889
1.7525079,-95.179359,30.059368
.99430037,-95.179428,29.929232
1.6797957,-95.179489,29.708233
1,-95.179535,29.985029
1,-95.179573,29.930525
1.0082357,-95.159973,29.916075
.99700421,-95.160271,29.484957
1,-95.161064,29.381651
.99909419,-95.18074,29.780785
1.1848562,-95.180847,30.064728
1,-95.181129,30.009451
1,-95.181358,29.695139
1,-95.181221,29.793024
.99953425,-95.181305,29.999498
.99496144,-95.181511,30.003771
1,-95.181702,30.068825
1,-95.181633,29.710867
1,-95.162079,29.993172
1,-95.162552,29.653303
1,-95.162872,29.708345
1,-95.182091,29.976965
1,-95.182137,29.863899
1.7197107,-95.182549,30.067286
1,-95.182808,29.995535
1,-95.182785,29.707613
1.8110236,-95.182838,29.413187
1,-95.163818,29.693951
.99690115,-95.163841,29.476891
2.751663,-95.163918,29.421907
1,-95.163925,29.469738
1,-95.164398,29.825935
2.9326875,-95.164314,29.538847
.98795182,-95.183861,29.779034
.92760205,-95.183899,29.698092
1,-95.164436,29.82616
.99806297,-95.164917,29.826017
1,-95.165306,29.96806
1,-95.165329,30.077589
1.6943505,-95.165413,29.534803
.9933129,-95.185486,29.792601
1,-95.186142,29.591085
2.3626833,-95.185715,30.073235
1,-95.185623,29.994722
2.736593,-95.185883,29.438311
.99893022,-95.18573,29.975348
1,-95.185966,29.840715
1,-95.165527,29.987541
1,-95.165688,29.648729
1.1784445,-95.166069,29.77733
1,-95.166534,29.691284
1.7350199,-95.166389,30.05422
.99800265,-95.166862,29.533205
1,-95.186172,29.697699
1,-95.186424,29.495607
1,-95.186455,29.706451
1,-95.186752,30.070776
1,-95.186806,29.678623
1,-95.187622,29.802691
1,-95.167053,29.53186
1.4433657,-95.167625,29.884596
1.8312129,-95.168465,30.06246
1,-95.168388,29.543255
1.8903358,-95.188202,29.539242
1,-95.18821,29.67729
1,-95.188385,29.4993
2.0804749,-95.18856,29.51919
.9993248,-95.188667,29.78956
1,-95.188988,29.970919
1,-95.188919,29.839655
.99252445,-95.189156,29.647738
1,-95.168625,29.663834
1,-95.168762,29.787216
.99885023,-95.168983,29.710215
1,-95.169044,29.651503
.99717402,-95.169189,29.63817
1.9278688,-95.169228,29.745138
1,-95.16938,29.787682
.98248231,-95.189232,29.696888
1,-95.189453,30.092079
1,-95.189575,29.637678
1,-95.189514,29.695791
1,-95.189545,29.48872
3,-95.190033,30.076183
1,-95.189995,29.799799
.99690402,-95.169609,29.706316
1,-95.170448,29.700054
1,-95.17054,29.645531
1,-95.170532,29.803951
1.9154062,-95.170837,29.542788
.96637791,-95.170898,29.782764
1,-95.170883,30.073496
1,-95.171028,29.989109
.99776286,-95.19046,30.070414
1,-95.190483,29.689877
.99833888,-95.190567,29.608423
1,-95.190834,30.01211
1.0443059,-95.190956,29.972521
1,-95.191521,29.687435
1,-95.191742,30.063404
1,-95.191658,29.865538
.99945235,-95.171349,29.774626
1,-95.171669,29.984123
1,-95.171654,29.984316
.99972343,-95.172089,29.797186
1,-95.172318,29.778244
.99928862,-95.191719,29.67108
1.9915966,-95.191864,29.5406
1,-95.192604,29.795422
1,-95.192902,29.995895
1.8581055,-95.1726,30.084185
.99224806,-95.172432,29.932676
1.1281978,-95.173523,29.610573
.9997288,-95.173569,29.777184
1,-95.173592,29.795456
1.7606325,-95.173607,30.054024
1.0002025,-95.193436,29.982193
.99398541,-95.194382,30.083364
1.3453003,-95.194267,29.603001
1,-95.194542,29.79064
1,-95.194664,29.986589
1.0117888,-95.173592,29.918848
1,-95.173988,29.967133
1,-95.174194,29.783251
1,-95.174469,29.991507
.9995268,-95.17466,29.798
3,-95.174774,30.095636
1,-95.174889,29.8393
1,-95.195831,29.686689
1,-95.195877,29.702568
1.1944005,-95.1959,29.994249
1.9378164,-95.196312,29.634865
1,-95.174934,29.801355
1,-95.175133,29.70739
1,-95.176071,29.957348
1,-95.196465,29.680964
.98934549,-95.196701,29.680307
1,-95.197456,29.968615
1,-95.197388,29.682669
1,-95.197495,29.973278
1,-95.176231,29.681253
1,-95.176315,30.069139
1,-95.1763,30.083109
1.7448472,-95.177017,30.002169
1,-95.177467,29.666695
1,-95.197784,29.816141
1,-95.198883,29.811586
1.2576687,-95.19902,30.072392
1.0248175,-95.177666,29.665751
1,-95.17775,29.64786
.94103956,-95.17778,29.785315
1.9079095,-95.177979,30.070913
.99713671,-95.178375,29.96475
1.0053071,-95.178406,29.674503
1.3916349,-95.178497,30.046919
1,-95.178398,30.0641
.99509805,-95.178909,29.702606
1,-95.199753,30.097281
1,-95.199562,29.67746
1,-95.20005,29.830345
.99777776,-95.200058,29.497839
.99938577,-95.200142,29.58453
1,-95.200493,29.96612
.99588758,-95.200134,29.763786
1,-95.200768,29.854099
.99875599,-95.179115,29.64278
.99930507,-95.179138,29.690536
1,-95.179276,29.932333
.99800003,-95.179375,29.98835
1,-95.179512,29.669884
1.5001013,-95.179756,29.540705
1,-95.179863,29.783287
1,-95.179962,29.542847
1.4268707,-95.201668,29.510572
1.9800797,-95.20195,29.798973
.99780703,-95.202065,29.795431
1,-95.202164,29.591869
2.083128,-95.201981,29.480753
1,-95.180595,29.700922
1,-95.181282,30.058064
.99373275,-95.181396,29.697556
1,-95.181343,30.001183
1,-95.181442,29.787029
1,-95.202469,29.984003
1,-95.202835,29.647392
1.2017788,-95.202766,29.967196
1.8406515,-95.203415,29.863873
1,-95.203468,29.767349
.99949747,-95.203766,29.681137
1,-95.203552,29.790293
1.0396302,-95.20372,29.627747
1.0798669,-95.203941,30.078041
.98310006,-95.182625,29.800657
1,-95.18277,29.535597
.99435025,-95.182999,29.485947
1,-95.204453,29.988962
.99972439,-95.204582,29.784706
3,-95.205002,29.471905
1,-95.183533,29.489315
1,-95.184036,29.648146
1,-95.184029,29.686935
1,-95.184639,30.090189
1,-95.184723,29.98127
1,-95.184837,30.013357
.99124581,-95.205513,29.763441
1,-95.20578,29.675095
1,-95.205811,30.145697
1,-95.206505,29.685555
.99426603,-95.185005,30.012924
.99912202,-95.185379,29.974182
1.0043557,-95.185631,29.831518
1,-95.185951,29.641899
1,-95.186172,29.679634
1.8562814,-95.207237,29.982975
1,-95.207115,29.50556
2.18894,-95.207687,29.997231
1,-95.207718,30.070269
1,-95.186417,29.814444
1,-95.186699,29.641243
1,-95.186546,29.965628
1,-95.186867,29.639469
1,-95.187241,29.972136
.99795079,-95.187439,29.986217
1,-95.208961,29.784512
1,-95.209091,29.60294
1,-95.209236,29.592991
1.2412513,-95.209366,29.982103
1,-95.209579,30.126478
1,-95.209671,29.596069
1,-95.187881,29.777803
1,-95.18866,29.876116
1,-95.188667,29.997419
1,-95.18911,29.501139
1,-95.189049,29.668316
1,-95.189209,29.480993
1.6228374,-95.189438,29.379965
1,-95.210075,29.599823
4,-95.210289,30.0452
1,-95.210419,30.069515
1.9984038,-95.210747,29.815489
1,-95.21093,29.981268
1,-95.189369,29.494907
1,-95.189613,29.862701
1,-95.189598,29.654268
1,-95.18988,29.677229
1,-95.18972,29.925568
1,-95.190498,29.966028
1,-95.21122,29.853102
1,-95.211418,29.587612
1,-95.211235,29.489958
1,-95.211609,29.536568
1,-95.212257,29.693893
.99869704,-95.190628,29.9849
1.1971027,-95.191238,29.846893
